RaceID,Year,RaceName,Circuit,Driver,Team,LapNumber,Position,LapTime_Seconds,Compound,TireAge,Stint,PitOutTime,PitInTime,AirTemp,TrackTemp,Rainfall,ValidLap,ExclusionReason
JPN24,2024,Japanese Grand Prix,Suzuka,ALB,Williams,1,,,SOFT,1.0,1,,,22.5,40.0,False,False,Missing Lap Time
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,1,5,140.526,SOFT,1.0,1,,,22.5,40.0,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,2,5,,SOFT,2.0,2,,,22.5,38.8,False,False,Missing Lap Time
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,3,5,,SOFT,3.0,2,,,22.5,39.0,False,False,Missing Lap Time
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,4,5,97.453,SOFT,4.0,2,,,22.5,39.0,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,5,5,97.532,SOFT,5.0,2,,,22.5,38.8,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,6,5,97.861,SOFT,6.0,2,,,22.3,38.7,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,7,5,98.203,SOFT,7.0,2,,,22.4,38.7,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,8,5,98.461,SOFT,8.0,2,,,22.2,38.9,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,9,5,98.884,SOFT,9.0,2,,,22.1,39.0,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,10,5,98.781,SOFT,10.0,2,,,22.1,38.5,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,11,5,98.943,SOFT,11.0,2,,,21.9,37.1,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,12,4,98.744,SOFT,12.0,2,,,21.7,36.7,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,13,5,100.816,SOFT,13.0,2,,,21.6,36.6,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,14,8,116.544,MEDIUM,1.0,3,,,21.6,36.1,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,15,8,97.453,MEDIUM,2.0,3,,,21.5,35.2,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,16,8,97.021,MEDIUM,3.0,3,,,21.3,35.0,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,17,8,96.999,MEDIUM,4.0,3,,,21.1,34.8,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,18,8,97.031,MEDIUM,5.0,3,,,21.3,34.6,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,19,8,96.821,MEDIUM,6.0,3,,,21.2,34.5,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,20,8,97.615,MEDIUM,7.0,3,,,21.1,34.3,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,21,8,97.565,MEDIUM,8.0,3,,,21.0,34.4,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,22,6,97.721,MEDIUM,9.0,3,,,21.2,35.3,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,23,6,97.64,MEDIUM,10.0,3,,,21.0,35.6,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,24,6,97.435,MEDIUM,11.0,3,,,21.0,35.6,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,25,6,97.423,MEDIUM,12.0,3,,,21.1,36.0,False,True,
JPN24,2024,Japanese Grand Prix,Suzuka,ALO,Aston Martin,26,6,97.289,MEDIUM,13.0,3,,,21.3,35.7,False,True,
